src_ip,dst_ip,sport,dport,packet_count,Query_DNS
216.58.209.36,10.0.2.16,443,50980,18,NoQueryDNS
142.251.209.35,10.0.2.16,80,44668,10,NoQueryDNS
10.0.2.16,142.250.180.170,49100,443,582,NoQueryDNS
142.250.180.170,10.0.2.16,443,49100,638,NoQueryDNS
10.0.2.16,142.250.180.170,49102,443,68,NoQueryDNS
142.250.180.170,10.0.2.16,443,49102,94,NoQueryDNS
10.0.2.16,10.0.2.3,17153,53,2,android.clients.google.com.
10.0.2.3,10.0.2.16,53,17153,2,android.clients.google.com.
10.0.2.16,10.0.2.3,45524,53,2,android.clients.google.com.
10.0.2.3,10.0.2.16,53,45524,2,android.clients.google.com.
10.0.2.16,216.58.204.142,47618,443,28,NoQueryDNS
216.58.204.142,10.0.2.16,443,47618,28,NoQueryDNS
10.0.2.16,142.250.180.170,49106,443,64,NoQueryDNS
142.250.180.170,10.0.2.16,443,49106,64,NoQueryDNS
10.0.2.16,10.0.2.3,50395,53,2,dl.google.com.
10.0.2.3,10.0.2.16,53,50395,2,dl.google.com.
10.0.2.16,10.0.2.3,49701,53,2,dl.google.com.
10.0.2.3,10.0.2.16,53,49701,2,dl.google.com.
10.0.2.16,142.250.180.142,51502,443,138,NoQueryDNS
142.250.180.142,10.0.2.16,443,51502,222,NoQueryDNS
10.0.2.16,142.250.180.138,59662,443,90,NoQueryDNS
142.250.180.138,10.0.2.16,443,59662,120,NoQueryDNS
10.0.2.16,10.0.2.3,32564,53,2,app-measurement.com.
10.0.2.3,10.0.2.16,53,32564,2,app-measurement.com.
10.0.2.16,10.0.2.3,28332,53,2,app-measurement.com.
10.0.2.3,10.0.2.16,53,28332,2,app-measurement.com.
10.0.2.16,142.250.180.142,51506,443,34,NoQueryDNS
142.250.180.142,10.0.2.16,443,51506,32,NoQueryDNS
10.0.2.16,74.125.128.188,39336,5228,30,NoQueryDNS
74.125.128.188,10.0.2.16,5228,39336,30,NoQueryDNS
10.0.2.16,10.0.2.3,20790,53,2,alt2-mtalk.google.com.
10.0.2.3,10.0.2.16,53,20790,2,alt2-mtalk.google.com.
10.0.2.16,10.0.2.3,22156,53,2,alt2-mtalk.google.com.
10.0.2.3,10.0.2.16,53,22156,2,alt2-mtalk.google.com.
10.0.2.16,74.125.200.188,39558,443,26,NoQueryDNS
74.125.200.188,10.0.2.16,443,39558,24,NoQueryDNS
10.0.2.16,10.0.2.3,41408,53,2,android.apis.google.com.
10.0.2.3,10.0.2.16,53,41408,2,android.apis.google.com.
10.0.2.16,10.0.2.3,10507,53,2,android.apis.google.com.
10.0.2.3,10.0.2.16,53,10507,2,android.apis.google.com.
10.0.2.16,216.58.205.46,52832,443,34,NoQueryDNS
216.58.205.46,10.0.2.16,443,52832,32,NoQueryDNS
10.0.2.16,142.250.180.138,59672,443,56,NoQueryDNS
